movie_title,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,facenumber_in_poster,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,num_voted_users
Bullet to the Headæ,92,394,565,13000,3,55000000,2012,11000,5.7,1.85,10000,39247
The Godfather: Part IIIæ,170,0,889,14000,1,54000000,1990,1000,7.6,1.85,0,267980
Elizabethtownæ,123,488,2000,5000,0,57000000,2005,4000,6.4,1.85,0,58658
"You, Me and Dupreeæ",110,94,240,277,1,54000000,2006,245,5.6,1.85,0,68417
Superman IIæ,116,44,420,593,4,54000000,1980,467,6.8,2.35,0,76331
Gigliæ,121,102,43,117,0,54000000,2003,62,2.4,2.35,2000,41620
All the King's Menæ,128,234,581,14000,0,55000000,2006,12000,6.2,1.85,0,20740
Shaftæ,99,309,577,23000,0,46000000,2000,1000,5.9,2.35,0,58416
Anastasiaæ,94,383,753,4000,1,50000000,1997,808,7.1,2.35,0,86347
Moulin Rouge!æ,127,1000,653,1000,1,52500000,2001,691,7.6,2.35,10000,224013
Domestic Disturbanceæ,89,17,303,12000,1,53000000,2001,708,5.5,2.35,361,21283
Black Massæ,123,108,3000,40000,7,53000000,2015,19000,7,2.35,44000,115216
Flags of Our Fathersæ,135,16000,310,23000,0,90000000,2006,638,7.1,2.35,0,101221
Law Abiding Citizenæ,118,473,963,18000,0,50000000,2009,1000,7.4,2.35,21000,217480
Grindhouseæ,189,0,1000,16000,0,53000000,2007,3000,7.6,2.35,0,155496
Belovedæ,172,438,466,852,1,55000000,1998,637,5.9,1.85,853,6082
Lucky Youæ,124,161,681,21000,1,55000000,2007,3000,5.9,2.35,672,18310
Catch Me If You Canæ,141,14000,3000,29000,0,52000000,2002,15000,8,1.85,15000,525801
Zero Dark Thirtyæ,157,0,304,1000,0,40000000,2012,1000,7.4,1.85,39000,216032
The Break-Upæ,106,235,931,4000,1,52000000,2006,957,5.8,1.85,0,102167
Mamma Mia!æ,108,58,838,14000,1,52000000,2008,11000,6.3,2.35,10000,145974
Valentine's Dayæ,125,0,11000,14000,12,52000000,2010,12000,5.7,1.85,9000,95437
The Dukes of Hazzardæ,107,422,379,631,5,50000000,2005,534,5.1,2.35,0,66382
The Thin Red Lineæ,215,0,463,648,0,52000000,1998,568,7.6,2.35,0,138941
The Change-Upæ,118,71,634,16000,2,52000000,2011,10000,6.4,2.35,13000,136680
Man on the Moonæ,118,869,21,134,1,52000000,1999,27,7.4,2.35,0,100743
Casinoæ,178,17000,574,22000,2,52000000,1995,721,8.2,2.35,11000,333542
From Paris with Loveæ,92,180,75,211,1,52000000,2010,135,6.5,2.35,0,97775
Bulletproof Monkæ,104,13,343,961,3,52000000,2003,691,5.5,2.35,846,42324
"Me, Myself & Ireneæ",116,101,79,889,1,51000000,2000,624,6.5,1.85,0,185878
Barnyardæ,90,176,523,677,1,51000000,2006,560,5.6,1.85,605,21396
Deck the Hallsæ,93,14,728,2000,0,,2006,1000,4.9,1.85,1000,15740
The Twilight Saga: New Moonæ,130,129,12000,21000,2,50000000,2009,17000,4.6,2.35,13000,220758
Shrekæ,90,80,21,145,1,60000000,2001,50,7.9,1.85,0,467113
The Adjustment Bureauæ,106,53,593,13000,2,50200000,2011,963,7.1,1.85,36000,200035
Robin Hood: Prince of Thievesæ,155,58,720,25000,0,48000000,1991,11000,6.9,1.85,0,145257
Jerry Maguireæ,139,488,597,10000,0,50000000,1996,743,7.3,1.85,0,189923
Tedæ,112,3000,1000,15000,1,50000000,2012,3000,7,1.85,74000,471644
As Good as It Getsæ,139,274,285,625,0,50000000,1997,440,7.7,1.85,11000,224671
Patch Adamsæ,115,293,878,49000,1,50000000,1998,22000,6.7,2.35,0,80580
Anchorman 2: The Legend Continuesæ,143,285,7000,11000,2,50000000,2013,8000,6.3,2.35,41000,131227
Mr. Deedsæ,96,65,828,12000,1,50000000,2002,11000,5.8,1.85,0,110432
Super 8æ,112,14000,417,1000,0,50000000,2011,560,7.1,2.35,37000,287822
Erin Brockovichæ,131,0,658,8000,0,52000000,2000,883,7.3,1.85,0,135246
How to Lose a Guy in 10 Daysæ,116,80,651,11000,2,50000000,2003,1000,6.4,1.85,0,156717
22 Jump Streetæ,112,97,584,17000,2,50000000,2014,920,7.1,2.35,24000,258186
Interview with the Vampire: The Vampire Chroniclesæ,123,277,4000,11000,0,60000000,1994,10000,7.6,1.85,11000,239752
Yes Manæ,104,235,1000,14000,1,70000000,2008,11000,6.8,2.35,0,271691
Central Intelligenceæ,107,43,569,12000,2,50000000,2016,919,6.6,2.35,10000,33354
Stepmomæ,124,0,701,8000,2,50000000,1998,818,6.7,2.35,0,46482
Daddy's Homeæ,96,51,322,8000,2,50000000,2015,2000,6.1,1.85,13000,54010
Into the Woodsæ,125,252,10000,40000,1,50000000,2014,11000,6,2.39,90000,101178
Inside Manæ,129,0,277,18000,2,45000000,2006,412,7.6,2.35,0,273108
Paybackæ,90,241,416,1000,1,50000000,1999,495,7.1,2.35,0,111368
Congoæ,109,155,293,426,0,50000000,1995,387,5,1.85,0,34471
We Bought a Zooæ,124,488,1000,19000,3,,2011,13000,7.1,1.85,22000,111003
Knowingæ,121,295,329,12000,0,50000000,2009,748,6.2,2.35,0,186879
Failure to Launchæ,95,9,11000,14000,2,50000000,2006,11000,5.6,2.35,2000,58412
The Ring Twoæ,128,62,874,6000,0,,2005,989,5.4,1.85,0,71153
"Crazy, Stupid, Love.æ",118,43,7000,33000,7,50000000,2011,15000,7.4,2.39,44000,375456
Garfieldæ,80,12,58,13000,0,35000000,2004,258,5,1.85,795,58961
Christmas with the Kranksæ,99,148,660,2000,1,60000000,2004,843,5.2,2.35,0,27548
Moneyballæ,133,152,11000,22000,1,50000000,2011,18000,7.6,1.85,27000,283563
Outbreakæ,127,249,808,18000,3,50000000,1995,11000,6.6,1.85,0,91176
Non-Stopæ,106,174,660,14000,0,50000000,2014,664,7,2.35,24000,200647
Race to Witch Mountainæ,98,99,433,12000,3,65000000,2009,536,5.7,2.35,0,43328
V for Vendettaæ,132,160,443,20000,1,54000000,2005,979,8.2,2.35,48000,791783
Shanghai Knightsæ,114,71,55,154,2,50000000,2003,131,6.2,2.35,955,81444
Unforgottenæ            ,45,,132,416,2,,,171,7.9,,0,1824
Curious Georgeæ,78,5,1000,8000,0,50000000,2006,2000,6.6,1.85,624,12845
Herbie Fully Loadedæ,101,23,541,660,1,50000000,2005,651,4.7,1.85,1000,36431
Don't Say a Wordæ,113,39,477,1000,0,50000000,2001,912,6.3,2.35,970,40362
Hansel & Gretel: Witch Huntersæ,98,75,467,10000,2,50000000,2013,520,6.1,2.35,45000,159868
Unfaithfulæ,124,213,372,838,0,50000000,2002,593,6.7,1.85,0,63067
I Am Number Fouræ,109,154,144,15000,1,60000000,2011,348,6.1,1.85,27000,195043
Syrianaæ,128,79,414,13000,0,50000000,2005,903,7,2.35,0,109188
13 Hoursæ,144,0,681,769,0,50000000,2016,726,7.4,2.35,44000,47764
The Book of Lifeæ,95,34,679,17000,1,50000000,2014,995,7.3,2.35,18000,45580
Firewallæ,105,12,935,87000,1,50000000,2006,11000,5.8,2.35,773,50170
Absolute Poweræ,121,16000,826,16000,0,50000000,1997,1000,6.7,2.35,1000,39529
G.I. Janeæ,125,0,957,10000,1,50000000,1997,2000,5.8,2.35,2000,60326
The Gameæ,129,21000,283,495,1,50000000,1997,294,7.8,2.35,25000,261069
Silent Hillæ,132,50,368,992,0,50000000,2006,495,6.6,2.35,0,172792
The Replacementsæ,118,41,585,18000,1,50000000,2000,4000,6.5,1.85,0,48322
American Reunionæ,113,22,1000,3000,7,50000000,2012,1000,6.7,1.85,39000,172112
The Negotiatoræ,140,473,294,18000,2,50000000,1998,822,7.3,2.35,3000,107227
Into the Stormæ,89,77,159,490,0,50000000,2014,298,5.8,1.85,15000,54101
Beverly Hills Cop IIIæ,104,644,174,437,1,55000000,1994,289,5.5,1.85,669,60293
Gremlins 2: The New Batchæ,106,287,767,16000,0,50000000,1990,823,6.3,1.85,0,68428
The Judgeæ,141,71,3000,21000,1,50000000,2014,3000,7.4,2.35,47000,136973
The Peacemakeræ,124,75,258,294,2,50000000,1997,273,5.9,2.35,0,46451
Resident Evil: Apocalypseæ,98,38,706,14000,1,45000000,2004,919,6.2,2.35,0,151580
Bridget Jones: The Edge of Reasonæ,108,17,186,14000,1,40000000,2004,1000,5.9,2.35,0,74315
Out of Timeæ,114,73,323,18000,3,50000000,2003,886,6.5,2.35,1000,45895
On Deadly Groundæ,101,0,158,854,1,50000000,1994,643,4.4,2.35,812,17997
The Adventures of Sharkboy and Lavagirl 3-Dæ,93,0,717,12000,1,50000000,2005,722,3.5,1.85,0,20310
The Beachæ,119,0,39,29000,0,50000000,2000,414,6.6,2.35,0,176169
Raising Helenæ,119,0,434,627,1,50000000,2004,508,6,1.85,718,30890
Ninja Assassinæ,99,160,72,330,0,40000000,2009,119,6.4,2.35,0,58349
For Love of the Gameæ,137,0,432,24000,0,50000000,1999,743,6.5,2.35,0,26034
A Touch of Frostæ            ,105,,5,325,1,,,7,7.8,1.33,361,4438
Stripteaseæ,117,31,210,2000,1,40000000,1996,472,4.3,1.85,877,34896
Marmadukeæ,87,9,1000,15000,0,50000000,2010,2000,4.2,2.35,0,11257
Hereafteræ,129,16000,447,13000,0,50000000,2010,563,6.5,2.35,16000,80140
Murder by Numbersæ,115,58,401,33000,0,50000000,2002,455,6.1,1.85,0,43574
Assassinsæ,132,503,282,45000,0,50000000,1995,13000,6.3,1.85,0,62981
Hannibal Risingæ,131,73,163,879,0,50000000,2007,184,6.2,2.35,3000,86374
The Story of Usæ,95,0,323,13000,1,50000000,1999,559,5.9,1.85,0,18404
The Hostæ,125,487,201,430,3,40000000,2013,329,5.9,2.35,43000,92461
Basicæ,98,323,511,933,0,50000000,2003,631,6.5,2.35,0,49926
Blood Workæ,110,16000,581,16000,1,50000000,2002,1000,6.4,2.35,705,34356
The Internationalæ,118,670,294,6000,0,50000000,2009,450,6.5,2.35,0,80196
Escape from L.A.æ,101,0,764,12000,0,50000000,1996,898,5.7,2.35,0,54021
Twistedæ            ,60,,398,629,2,,,512,7.5,16,915,7945
The Iron Giantæ,90,663,521,14000,1,70000000,1999,631,8,2.35,0,128455
The Life Aquatic with Steve Zissouæ,119,0,639,13000,8,50000000,2004,1000,7.3,2.35,0,139535
Free State of Jonesæ,139,378,303,11000,1,50000000,2016,552,6.7,1.85,10000,3077
The Life of David Galeæ,130,317,256,18000,0,50000000,2003,14000,7.5,2.35,0,88270
Man of the Houseæ,100,65,730,1000,5,40000000,2005,923,5.4,2.35,779,19829
Run All Nightæ,114,174,655,14000,2,50000000,2015,988,6.6,2.35,15000,76010
Eastern Promisesæ,96,0,509,10000,1,25000000,2007,6000,7.7,1.85,0,189249
Into the Blueæ,110,134,795,23000,3,50000000,2005,1000,5.8,2.35,0,63599
The Messenger: The Story of Joan of Arcæ,158,0,15,51,0,390000000,1999,40,6.4,2.35,0,55889
Your Highnessæ,102,234,11000,20000,3,49900000,2011,11000,5.6,2.35,18000,85237
Dream Houseæ,84,260,692,6000,0,55000000,2011,694,6,2.35,0,46239
Mad Cityæ,115,333,317,972,2,50000000,1997,713,6.2,2.35,697,16562
Baby's Day Outæ,99,32,479,1000,1,50000000,1994,619,5.9,1.85,0,33186
The Scarlet Letteræ,135,596,2000,10000,1,50000000,1995,3000,5.1,2.35,943,12037
Fair Gameæ,108,218,405,6000,2,22000000,2010,3000,6.8,2.35,9000,38513
Defianceæ            ,43,,600,3000,3,,,845,7,1.78,0,33535
Dominoæ,127,12000,897,984,0,50000000,2005,940,6,2.35,0,58015
Jadeæ,107,607,602,2000,0,50000000,1995,979,5.1,1.85,422,9227
Gameræ,95,83,1000,18000,1,50000000,2009,8000,5.8,1.85,0,113483
Beautiful Creaturesæ,124,98,592,1000,7,60000000,2013,852,6.2,2.35,14000,67796
Death to Smoochyæ,109,0,809,49000,2,55000000,2002,811,6.4,1.85,0,34730
Zoolander 2æ,102,0,1000,14000,4,50000000,2016,8000,4.8,2.35,28000,34964
The Big Bounceæ,88,5,338,11000,5,50000000,2004,387,4.9,2.35,288,15880
What Planet Are You From?æ,87,0,591,2000,0,50000000,2000,602,5.6,1.85,255,8070
Drive Angryæ,104,71,982,12000,1,50000000,2011,2000,5.5,1.85,15000,81800
Street Fighter: The Legend of Chun-Liæ,96,43,77,841,2,18000000,2009,342,3.7,2.35,0,19824
The Oneæ,85,70,848,26000,1,49000000,2001,5000,5.9,2.35,0,77684
Outlanderæ            ,64,,184,1000,8,,,531,8.5,16,31000,50391
The Adventures of Ford Fairlaneæ,104,212,380,879,5,40000000,1990,560,6.3,2.35,2000,14429
Pirate Radioæ,135,628,830,22000,2,,2009,882,7.4,2.35,21000,90932
Trafficæ,190,0,215,599,0,48000000,2000,399,7.6,1.85,0,170684
Indiana Jones and the Last Crusadeæ,127,14000,440,11000,5,48000000,1989,844,8.3,2.35,0,515306
Anna Kareninaæ,129,456,0,2000,1,,2012,35,6.6,2.35,36000,70886
Chappieæ,120,662,502,20000,0,49000000,2015,2000,6.9,2.35,67000,172965
The Bone Collectoræ,118,176,308,18000,2,48000000,1999,11000,6.7,2.35,0,120202
Panic Roomæ,112,21000,237,17000,0,48000000,2002,324,6.8,2.35,0,206104
The Tooth Fairyæ,89,42,235,598,0,1500000,2006,555,4.6,1.78,352,1263
Three Kingsæ,114,737,393,2000,1,48000000,1999,490,7.1,2.35,3000,137854
Child 44æ,137,79,194,27000,3,50000000,2015,254,6.4,2.35,18000,40568
Rat Raceæ,112,109,261,779,8,48000000,2001,629,6.4,2.35,0,93367
K-PAXæ,120,34,1000,18000,1,48000000,2001,12000,7.4,2.35,0,148490
Kate & Leopoldæ,123,446,821,20000,1,48000000,2001,1000,6.4,1.85,0,64595
Bedazzledæ,93,11000,484,3000,2,48000000,2000,575,6,2.35,0,81888
The Cotton Clubæ,123,0,886,12000,1,58000000,1984,5000,6.5,1.85,828,12771
3:10 to Yumaæ,122,446,600,23000,1,55000000,2007,8000,7.8,2.35,0,237872
Taken 3æ,115,118,482,14000,0,48000000,2014,794,6,2.35,38000,133436
Out of Sightæ,123,0,23,3000,1,48000000,1998,745,7,1.85,0,71708
The Cable Guyæ,96,0,302,2000,1,47000000,1996,1000,6,2.35,0,122347
Earthæ,110,375,59,113,0,,1998,102,7.8,,522,5639
Dick Tracyæ,105,631,327,678,1,100000000,1990,631,6.1,1.85,2000,47819
The Thomas Crown Affairæ,113,323,835,1000,0,48000000,1999,977,6.8,2.35,0,73068
Riding in Cars with Boysæ,132,545,807,919,1,48000000,2001,811,6.4,1.85,0,22447
First Bloodæ,93,270,535,13000,1,14000000,1982,954,7.7,2.35,0,172489
Solarisæ,115,0,12,29,0,1000000,1972,29,8.1,2.35,0,54057
Happily N'Ever Afteræ,75,0,677,4000,3,47000000,2006,769,4.5,1.85,261,8693
Mary Reillyæ,108,350,77,8000,1,47000000,1996,115,5.8,1.85,616,11913
My Best Friend's Weddingæ,105,29,692,8000,1,46000000,1997,1000,6.3,2.35,0,98199
America's Sweetheartsæ,102,148,135,8000,4,48000000,2001,973,5.7,2.35,881,47573
Insomniaæ,118,22000,319,14000,0,46000000,2002,509,7.2,2.35,0,218771
Star Trek: First Contactæ,111,906,906,1000,2,45000000,1996,1000,7.6,2.35,3000,97838
Jonah Hexæ,81,39,364,13000,1,47000000,2010,541,4.7,2.35,0,45729
Courage Under Fireæ,116,380,826,18000,1,46000000,1996,13000,6.6,1.85,975,40126
Liar Liaræ,86,293,255,509,1,45000000,1997,418,6.8,1.85,0,220392
The Infiltratoræ,127,65,345,788,1,25000000,2016,423,7.3,2.35,0,2581
Inchonæ,140,92,522,1000,1,48000000,1981,623,2.7,2.35,115,491
The Flintstonesæ,91,32,628,924,2,45000000,1994,664,4.8,1.33,0,60884
Taken 2æ,98,118,558,14000,0,45000000,2012,935,6.3,2.35,63000,238671
Scary Movie 3æ,84,119,750,807,7,48000000,2003,780,5.5,1.85,0,111526
Miss Congenialityæ,109,80,213,545,1,45000000,2000,337,6.2,1.85,0,137377
Journey to the Center of the Earthæ,93,40,311,14000,0,45000000,2008,3000,5.8,1.85,0,85323
The Princess Diaries 2: Royal Engagementæ,113,0,995,11000,2,40000000,2004,1000,5.7,1.85,1000,53687
The Pelican Briefæ,141,79,956,18000,0,45000000,1993,8000,6.5,2.35,0,59569
The Clientæ,119,541,551,821,3,45000000,1994,577,6.7,2.35,1000,45798
The Bucket Listæ,97,0,760,11000,1,45000000,2007,2000,7.4,1.85,22000,184795
Patriot Gamesæ,117,176,308,11000,1,45000000,1992,530,6.9,2.35,0,81442
Monster-in-Lawæ,101,126,586,3000,0,60000000,2005,949,5.5,2.35,0,43358
Prisonersæ,153,777,1000,20000,2,46000000,2013,15000,8.1,1.85,86000,383591
Training Dayæ,122,845,854,18000,2,45000000,2001,881,7.7,2.35,0,305929
Galaxy Questæ,102,23,436,25000,3,45000000,1999,724,7.3,2.35,19000,123558
Scary Movie 2æ,83,322,179,1000,7,45000000,2001,422,5.2,1.85,0,119590
The Muppetsæ,103,33,84,970,3,45000000,2011,91,7.1,1.85,26000,75176
Bladeæ,110,45,595,886,1,45000000,1998,650,7.1,2.35,0,191437
Coach Carteræ,136,49,730,17000,0,30000000,2005,807,7.2,2.35,0,92702
Changing Lanesæ,91,50,67,521,0,45000000,2002,108,6.5,2.35,0,57281
Anacondaæ,89,49,514,2000,0,45000000,1997,902,4.6,2.35,0,73539
Coyote Uglyæ,107,18,560,811,5,45000000,2000,625,5.6,2.35,0,90539
Love Actuallyæ,129,628,548,14000,9,45000000,2003,14000,7.7,2.35,52000,318634
A Bug's Lifeæ,95,487,1000,18000,0,120000000,1998,1000,7.2,2.35,0,211226
From Hellæ,122,117,140,40000,1,35000000,2001,1000,6.8,2.35,0,124765
The Specialistæ,110,49,20,13000,2,45000000,1994,279,5.4,1.85,0,50148
Tin Cupæ,135,41,808,982,0,45000000,1996,843,6.3,2.35,1000,37911
"Yours, Mine and Oursæ",111,5,559,6000,0,2500000,1968,584,7.2,1.85,0,5888
Kicking & Screamingæ,95,58,3000,14000,1,45000000,2005,8000,5.6,2.35,743,30255
The Hitchhiker's Guide to the Galaxyæ,109,37,651,11000,0,50000000,2005,2000,6.8,2.35,10000,155745
Fat Albertæ,93,38,631,1000,1,26000000,2004,641,4.3,2.35,531,9380
Resident Evil: Extinctionæ,94,85,443,14000,1,45000000,2007,706,6.3,2.35,0,149549
Blendedæ,117,153,734,35000,0,40000000,2014,11000,6.5,1.85,12000,87165
Last Holidayæ,112,61,501,1000,1,45000000,2006,976,6.4,2.35,0,21215
The River Wildæ,111,161,132,11000,1,45000000,1994,894,6.3,2.35,0,32544
The Indian in the Cupboardæ,96,0,563,1000,1,45000000,1995,845,5.9,1.85,0,20688
Savagesæ,141,0,404,749,4,45000000,2012,463,6.5,2.35,28000,104301
Cellularæ,94,160,167,550,1,25000000,2004,216,6.5,2.35,2000,79141
Johnny Englishæ,87,29,252,427,1,35000000,2003,304,6.1,1.85,2000,114692
The Ant Bullyæ,88,8,8000,12000,1,50000000,2006,11000,5.9,1.85,593,30055
Duneæ,177,0,202,913,3,40000000,1984,362,6.6,2.35,11000,97087
Across the Universeæ,133,278,107,5000,0,45000000,2007,117,7.4,2.35,14000,91860
Revolutionary Roadæ,119,0,10000,29000,0,35000000,2008,14000,7.3,2.35,0,152591
16 Blocksæ,102,503,795,13000,2,52000000,2006,929,6.6,2.35,0,112769
Babylon A.D.æ,101,326,510,14000,0,70000000,2008,844,5.6,2.35,0,81523
The Glimmer Manæ,91,29,322,2000,1,45000000,1996,461,5.3,1.85,451,15455
Multiplicityæ,117,11000,451,905,0,45000000,1996,484,6,2.35,0,24757
Aliens in the Atticæ,86,13,553,1000,3,45000000,2009,701,5.4,1.85,916,16580
The Pledgeæ,124,0,19,723,0,45000000,2001,44,6.8,2.35,0,42621
The Producersæ,134,38,2000,11000,3,45000000,2005,8000,6.4,2.35,0,35140
Dreddæ,95,38,20,409,0,35000000,2012,107,7.1,2.35,46000,203461
The Phantomæ,100,23,579,1000,0,45000000,1996,642,4.9,2.35,0,27648
All the Pretty Horsesæ,220,0,820,13000,2,57000000,2000,861,5.8,2.35,652,11388
Nixonæ,212,0,805,12000,0,50000000,1995,5000,7.1,2.35,915,23996
The Ghost Writeræ,128,2000,501,854,2,45000000,2010,766,7.2,2.35,15000,132423
Deep Risingæ,106,208,855,3000,0,45000000,1998,1000,6,2.35,0,26551
Miracle at St. Annaæ,160,0,826,23000,0,45000000,2008,1000,6,2.35,0,15697
Curse of the Golden Floweræ,114,611,10,879,2,45000000,2006,52,7,2.35,0,36455
Bangkok Dangerousæ,99,15,61,12000,1,40000000,2008,68,5.4,1.85,0,48245
Big Troubleæ,74,188,865,11000,2,40000000,2002,1000,6.5,1.85,892,17307
Love in the Time of Choleraæ,139,179,50,267,0,45000000,2007,202,6.4,2.35,0,19114
The Returnedæ            ,52,,114,164,9,,,116,8.3,16,17000,15762
Shadow Conspiracyæ,103,170,269,849,2,45000000,1997,623,4.9,2.35,68,3803
Johnny English Rebornæ,101,32,104,219,1,45000000,2011,141,6.3,2.35,17000,89568
Foodfight!æ,91,11,500,719,0,65000000,2012,611,1.7,,0,4377
Argoæ,130,0,650,1000,1,44500000,2012,660,7.7,2.35,89000,452465
The Fugitiveæ,130,99,812,11000,1,44000000,1993,1000,7.8,1.85,0,213668
The Bounty Hunteræ,110,72,789,18000,1,40000000,2010,1000,5.5,2.35,0,96565
Sleepersæ,147,272,893,22000,3,44000000,1996,11000,7.5,2.35,0,154487
Rambo: First Blood Part IIæ,96,170,668,13000,0,44000000,1985,738,6.4,2.35,0,117606
The Juroræ,118,13,643,23000,1,44000000,1996,2000,5.6,2.35,353,13995
Pinocchioæ,88,3,40,1000,0,2600000,1940,48,7.5,1.37,0,90360
Heaven's Gateæ,325,517,678,12000,0,44000000,1980,849,6.8,2.35,1000,9830
Underworld: Evolutionæ,102,235,520,956,1,50000000,2006,845,6.8,2.35,0,156225
Victor Frankensteinæ,110,118,287,11000,2,40000000,2015,1000,6,2.35,11000,28618
Finding Forresteræ,136,835,225,670,1,43000000,2000,370,7.3,2.35,0,73006
28 Daysæ,103,84,664,12000,1,43000000,2000,10000,6,1.37,0,34597
Unleashedæ,103,255,5000,11000,1,45000000,2005,5000,7,2.35,0,85198
The Sweetest Thingæ,90,16,16,44,3,43000000,2002,28,5.1,1.85,0,46158
The Firmæ,154,521,957,10000,0,42000000,1993,1000,6.8,1.85,0,88844
Charlie St. Cloudæ,99,23,135,405,1,44000000,2010,268,6.5,2.35,0,47364
The Mechanicæ,93,165,350,26000,0,40000000,2011,956,6.6,2.35,16000,117999
21 Jump Streetæ,109,97,839,17000,2,42000000,2012,971,7.2,2.35,39000,408302
Notting Hillæ,124,50,427,8000,1,42000000,1999,437,7,2.35,11000,203269
Chicken Runæ,84,91,206,579,0,45000000,2000,530,7,1.85,0,140499
Along Came Pollyæ,90,29,650,22000,1,42000000,2004,923,5.9,1.85,0,106909
Boomerangæ,117,71,547,723,1,40000000,1992,558,5.4,1.85,0,20183
The Heatæ,123,176,749,975,7,43000000,2013,815,6.6,2.35,24000,133177
Cleopatraæ,251,311,595,940,2,31115000,1963,726,7,2.2,0,21554
Here Comes the Boomæ,105,153,491,4000,2,42000000,2012,828,6.5,1.85,17000,74169
High Crimesæ,115,73,505,11000,1,42000000,2002,3000,6.3,2.35,893,30077
The Mirror Has Two Facesæ,122,0,292,12000,0,42000000,1996,592,6.5,1.85,0,11453
The Mothman Propheciesæ,119,89,395,650,0,32000000,2002,537,6.5,2.35,0,63677
BrÙnoæ,81,119,412,468,1,42000000,2009,442,5.8,1.85,0,119622
Licence to Killæ,133,46,275,683,0,32000000,1989,349,6.6,2.35,0,74009
Red Riding Hoodæ,100,308,913,10000,2,42000000,2011,2000,5.4,2.35,20000,91151
15 Minutesæ,120,17,808,22000,1,42000000,2001,9000,6.1,2.35,748,42547
Super Mario Bros.æ,104,5,687,5000,0,42000000,1993,922,4,1.85,0,38203
Lord of Waræ,122,487,16,12000,2,50000000,2005,43,7.6,2.35,10000,248123
Heroæ,80,611,576,5000,4,31000000,2002,643,7.9,2.35,0,149414
One for the Moneyæ,91,30,497,922,1,40000000,2012,786,5.3,2.35,19000,34203
The Interviewæ,112,133,365,11000,4,44000000,2014,392,6.6,2.35,50000,247020
The Warrior's Wayæ,100,19,433,624,1,45000000,2010,489,6.3,2.35,0,22309
McHale's Navyæ            ,30,,253,870,1,,,284,7.5,4,455,1558
Micmacsæ,105,0,52,1000,4,27000000,2009,172,7.2,2.35,0,24657
8 Mileæ,110,161,196,1000,0,41000000,2002,418,7,2.35,0,187181
Animal Kingdom: Let's go Apeæ,101,326,6,326,0,,2015,152,4.9,,161,590
A Knight's Taleæ,144,241,996,13000,1,65000000,2001,3000,6.9,2.35,0,137003
The Medallionæ,108,4,96,687,1,41000000,2003,312,5.2,2.35,505,29861
The Sixth Senseæ,107,0,766,13000,0,40000000,1999,3000,8.1,1.85,14000,704766
Man on a Ledgeæ,102,20,54,107,6,42000000,2012,81,6.6,2.35,11000,125198
The Big Yearæ,100,64,296,734,0,41000000,2011,574,6.2,2.35,11000,34809
The Karate Kidæ,126,80,225,668,0,8000000,1984,641,7.2,1.85,0,126907
American Hustleæ,138,737,14000,34000,5,40000000,2013,23000,7.3,2.35,63000,358416
The Proposalæ,108,98,723,16000,1,40000000,2009,896,6.7,2.35,10000,227824
Double Jeopardyæ,105,78,298,984,0,70000000,1999,489,6.4,2.35,0,56646
Back to the Future Part IIæ,108,0,690,1000,0,40000000,1989,869,7.8,1.85,12000,340085
Lucyæ,89,0,903,19000,0,40000000,2014,11000,6.4,2.35,83000,327367
Fifty Shades of Greyæ,129,456,716,1000,0,40000000,2015,935,4.1,2.35,101000,220020
Spy Kids 3-D: Game Overæ,84,0,2000,13000,3,38000000,2003,4000,4.1,1.85,681,40227
A Time to Killæ,149,541,1000,18000,3,40000000,1996,11000,7.4,2.35,0,99558
Cheaper by the Dozenæ,94,189,597,3000,15,40000000,2003,2000,5.8,1.85,0,75152
Lone Survivoræ,121,532,127,480,0,40000000,2013,449,7.6,2.35,58000,203963
A League of Their Ownæ,128,545,251,15000,3,40000000,1992,923,7.2,2.35,0,71754
The Conjuring 2æ,134,0,336,1000,0,40000000,2016,575,7.8,2.35,40000,64989
The Social Networkæ,120,21000,81,10000,0,40000000,2010,349,7.7,2.35,74000,479453
He's Just Not That Into Youæ,129,42,49,97,7,40000000,2009,50,6.4,2.35,12000,132048
Scary Movie 4æ,89,119,807,2000,8,45000000,2006,869,5.1,1.85,1000,93748
Scream 3æ,116,0,71,287,4,40000000,2000,157,5.5,2.35,0,98535
Back to the Future Part IIIæ,118,0,690,1000,0,40000000,1990,869,7.4,1.37,0,283480
Get Hardæ,107,164,723,8000,2,40000000,2015,2000,6,1.85,14000,85629
Bram Stoker's Draculaæ,155,0,10000,18000,0,40000000,1992,12000,7.5,1.85,14000,143835
Julie & Juliaæ,123,0,923,11000,2,40000000,2009,935,7,1.85,13000,79264
42æ,128,241,898,11000,0,40000000,2013,3000,7.5,2.35,28000,66511
The Talented Mr. Ripleyæ,139,333,1000,22000,1,40000000,1999,13000,7.3,1.85,0,137891
Dumb and Dumber Toæ,109,101,839,13000,1,35000000,2014,899,5.7,1.85,55000,97045
Eight Belowæ,120,155,249,23000,1,40000000,2006,984,7.3,2.35,11000,48806
The Internæ,121,278,808,22000,2,35000000,2015,11000,7.2,1.85,54000,130661
Ride Along 2æ,102,167,655,2000,0,40000000,2016,874,5.9,2.35,0,28621
The Last of the Mohicansæ,117,0,322,855,1,40000000,1992,363,7.8,2.35,0,113068
